ID,Count
18288,686
18289,546
18290,550
18291,416
18292,344
18293,334
18294,416
18295,498
18296,482
18297,512
18298,642
18299,642
18300,642
18301,642
18302,686
18303,686
18304,654
18305,622
18306,680
18307,702
18308,702
18309,702
18310,580
18311,534
18312,686
18313,546
18314,550
18315,416
18316,344
18317,334
18318,416
18319,498
18320,482
18321,512
18322,642
18323,642
18324,642
18325,642
18326,686
18327,686
18328,654
18329,622
18330,680
18331,702
18332,702
18333,702
18334,580
18335,534
18336,686
18337,546
18338,550
18339,416
18340,344
18341,334
18342,416
18343,498
18344,482
18345,512
18346,642
18347,642
18348,642
18349,642
18350,686
18351,686
18352,654
18353,622
18354,680
18355,702
18356,702
18357,702
18358,580
18359,534
18360,686
18361,546
18362,258
18363,416
18364,344
18365,334
18366,416
18367,498
18368,482
18369,512
18370,642
18371,642
18372,642
18373,642
18374,686
18375,686
18376,654
18377,622
18378,680
18379,702
18380,702
18381,702
18382,580
18383,534
18384,686
18385,546
18386,258
18387,416
18388,344
18389,334
18390,416
18391,378
18392,378
18393,378
18394,642
18395,642
18396,642
18397,642
18398,686
18399,686
18400,654
18401,622
18402,680
18403,702
18404,702
18405,702
18406,580
18407,534
18408,448
18409,208
18410,208
18411,212
18412,212
18413,212
18414,212
18415,316
18416,304
18417,226
18418,642
18419,642
18420,642
18421,642
18422,686
18423,686
18424,654
18425,622
18426,966
18427,672
18428,672
18429,644
18430,644
18431,644
18432,448
18433,562
18434,562
18435,212
18436,212
18437,212
18438,212
18439,316
18440,304
18441,332
18442,642
18443,642
18444,642
18445,642
18446,686
18447,686
18448,654
18449,622
18450,966
18451,672
18452,672
18453,644
18454,644
18455,644
18456,508
18457,470
18458,454
18459,416
18460,344
18461,334
18462,416
18463,316
18464,376
18465,322
18466,642
18467,642
18468,642
18469,642
18470,686
18471,686
18472,654
18473,622
18474,966
18475,672
18476,672
18477,644
18478,644
18479,644
18480,508
18481,236
18482,236
18483,416
18484,344
18485,334
18486,416
18487,316
18488,376
18489,322
18490,642
18491,642
18492,642
18493,642
18494,686
18495,686
18496,654
18497,622
18498,966
18499,672
18500,672
18501,644
18502,644
18503,644
18504,452
18505,236
18506,236
18507,416
18508,344
18509,334
18510,416
18511,316
18512,270
18513,478
18514,642
18515,642
18516,642
18517,642
18518,686
18519,686
18520,654
18521,622
18522,966
18523,672
18524,672
18525,644
18526,644
18527,644
18528,544
18529,236
18530,236
18531,416
18532,344
18533,334
18534,416
18535,316
18536,326
18537,696
18538,642
18539,642
18540,642
18541,642
18542,686
18543,686
18544,654
18545,622
18546,966
18547,672
18548,672
18549,644
18550,644
18551,644
18552,350
18553,236
18554,236
18555,416
18556,344
18557,334
18558,416
18559,316
18560,326
18561,696
18562,642
18563,642
18564,642
18565,642
18566,686
18567,686
18568,654
18569,622
18570,966
18571,672
18572,672
18573,644
18574,644
18575,644
18576,478
18577,236
18578,236
18579,416
18580,344
18581,334
18582,416
18583,316
18584,326
18585,696
18586,642
18587,642
18588,642
18589,642
18590,686
18591,686
18592,654
18593,622
18594,966
18595,672
18596,672
18597,644
18598,644
18599,644
18600,478
18601,236
18602,236
18603,416
18604,344
18605,334
18606,416
18607,316
18608,326
18609,696
18610,642
18611,642
18612,642
18613,642
18614,686
18615,686
18616,654
18617,622
18618,966
18619,672
18620,672
18621,644
18622,644
18623,644
18624,456
18625,236
18626,236
18627,416
18628,344
18629,334
18630,416
18631,316
18632,326
18633,364
18634,642
18635,642
18636,642
18637,642
18638,686
18639,686
18640,654
18641,622
18642,966
18643,672
18644,672
18645,644
18646,644
18647,644
18648,396
18649,236
18650,236
18651,416
18652,344
18653,334
18654,416
18655,316
18656,326
18657,402
18658,642
18659,642
18660,642
18661,642
18662,686
18663,686
18664,654
18665,622
18666,966
18667,672
18668,672
18669,644
18670,644
18671,644
18672,396
18673,236
18674,236
18675,416
18676,344
18677,334
18678,416
18679,316
18680,232
18681,302
18682,642
18683,642
18684,642
18685,642
18686,686
18687,686
18688,654
18689,622
18690,966
18691,672
18692,672
18693,644
18694,644
18695,644
18696,456
18697,364
18698,168
18699,416
18700,344
18701,334
18702,416
18703,316
18704,186
18705,186
18706,642
18707,642
18708,642
18709,642
18710,686
18711,686
18712,654
18713,622
18714,966
18715,672
18716,672
18717,644
18718,644
18719,644
18720,456
18721,364
18722,168
18723,416
18724,344
18725,334
18726,416
18727,316
18728,186
18729,186
18730,642
18731,642
18732,642
18733,642
18734,686
18735,686
18736,654
18737,622
18738,966
18739,672
18740,672
18741,644
18742,644
18743,644
18744,456
18745,364
18746,168
18747,416
18748,344
18749,334
18750,416
18751,316
18752,388
18753,388
18754,642
18755,642
18756,642
18757,642
18758,686
18759,686
18760,654
18761,622
18762,966
18763,672
18764,672
18765,644
18766,644
18767,644
18768,456
18769,364
18770,342
18771,416
18772,344
18773,334
18774,416
18775,316
18776,300
18777,374
18778,642
18779,642
18780,642
18781,642
18782,686
18783,686
18784,654
18785,622
18786,966
18787,672
18788,672
18789,644
18790,644
18791,644
18792,456
18793,430
